Mixture	Fetal Mesenchymal Stem Cells	CD14+ Monocytes	CD8+ Activated T Cells	Naive CD4+ T Cells	Naive CD8+ T Cells	Natural Killer T Cells	B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Cytotrophoblast	Fetal Nucleated Red Blood Cells	Maternal FCGR3A+ Monocytes	Maternal Plasma Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
STP0944	0.11010507022102418	0.02165775987725783	0.00000000000000000	0.00000000000000000	0.15954913006713883	0.07228880009936313	0.05099323333386808	0.00000000000000000	0.10181225889560346	0.05712585125550099	0.00448722411299769	0.00000000000000000	0.05989889310937797	0.07341174670255753	0.03540919355869176	0.17165186505745877	0.00038793631196830	0.00000000000000000	0.00000000000000000	0.08122103739719140	0.00000000000000000	0.97044253580226747	0.74165583436415294
STP1002	0.13464755208942636	0.01899846297760254	0.00000000000000000	0.00000000000000000	0.16029376110010410	0.08085702536010575	0.03930396738038666	0.00012489573264113	0.04769361347804604	0.08009315222932652	0.00000000000000000	0.00000000000000000	0.06674856168621018	0.07910176273758855	0.01606284806292162	0.24664847660397990	0.00155617140076834	0.00000000000000000	0.00000000000000000	0.02786974916089228	0.00000000000000000	0.94919016521077904	0.73805692722733085
STP1206	0.09671891098857902	0.01719768028081175	0.00000000000000000	0.00000000000000000	0.10766016402393092	0.09788120131770194	0.05474915351083717	0.00000000000000000	0.00000000000000000	0.08606333597817646	0.01046506699606971	0.01315385649973893	0.08290630235932757	0.18795551603254293	0.00802601833888854	0.19163458070968178	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04558821296371302	0.00000000000000000	0.98949912815879149	0.37560794501508021
SCP3628	0.06065941980526542	0.01964726749366008	0.00000000000000000	0.00000000000000000	0.22103879855820124	0.05926572554305931	0.04194278021443915	0.00499426568906385	0.11027627670480102	0.04609241099221748	0.00000000000000000	0.00000000000000000	0.04885735747577477	0.12099198037811010	0.00672028342005398	0.22448042389521358	0.00017491965503234	0.00000000000000000	0.00000000000000000	0.03485809017510792	0.00000000000000000	0.99313830874386322	0.58427995065532812
SCP3660	0.15570677339636152	0.03205596828745327	0.00000000000000000	0.00000000000000000	0.14507337262632872	0.05702231990626604	0.04556087459439919	0.00000000000000000	0.06460890599781270	0.03829612435459478	0.00000000000000000	0.00000000000000000	0.11399646896930020	0.03266346582098668	0.02219619228158627	0.13892945956709873	0.00730727856400016	0.01224713118739714	0.00000000000000000	0.13433566444641473	0.00000000000000000	0.95332173061447345	0.86096102787004869
SCP3780	0.08527081899244474	0.02030248926913761	0.00000000000000000	0.00000000000000000	0.22111627743011611	0.06124154785185401	0.01397442561194129	0.00000000000000000	0.10344089485252433	0.03613019865686434	0.01098896076330710	0.00000000000000000	0.04915294574467848	0.12062510297574029	0.01501388366988059	0.21528292443257974	0.00018895802779031	0.00001768170314889	0.00000000000000000	0.04725289001799220	0.00000000000000000	0.99202338186793682	0.58490543897026326
SCP3843	0.10127659421728215	0.01208806367752197	0.00000000000000000	0.00000000000000000	0.14659265422789527	0.05456738537965380	0.00000000000000000	0.02554096672063736	0.00000000000000000	0.06770868477620096	0.00000000000000000	0.00000000000000000	0.03219230515769179	0.14060948638243684	0.03826550944731157	0.34507871970230775	0.00067385720180212	0.00000000000000000	0.00000000000000000	0.03540577310925826	0.00000000000000000	0.97137414776967723	0.53972548783290253
SCP3877	0.06267337808237813	0.02495091056390570	0.00000000000000000	0.00000000000000000	0.15793132455646411	0.11118625452626867	0.01490014383229725	0.00000000000000000	0.11526685887715417	0.04854105925265639	0.00000000000000000	0.00000000000000000	0.10586569683913138	0.05411347990168950	0.01137640698380026	0.25439628895149186	0.00141923405057717	0.00751341311995093	0.00000000000000000	0.02986555046223430	0.00000000000000000	0.97092984984151565	0.80812415201778343
SCP3992	0.13336081316255349	0.03311709734497700	0.00000000000000000	0.00000000000000000	0.19213527564160485	0.04616550509890204	0.01816779120651285	0.01240113294915368	0.08495179312229718	0.03517366580100941	0.00000000000000000	0.00000000000000000	0.05712318424739701	0.06826516075914485	0.01880424925546163	0.16577967190946263	0.00960049129699065	0.00460820545253880	0.00000000000000000	0.12034596275199393	0.00000000000000000	0.98186754194024362	0.74498869669451329
SCP4060	0.00675566937637190	0.02832371407605031	0.00625492822696907	0.00000000000000000	0.03861856294251745	0.07171469241923845	0.01318378383502624	0.00000000000000000	0.04050383565699293	0.11829556686264105	0.01358714649315234	0.00000000000000000	0.02408450256084325	0.02898222996518200	0.00621598559577461	0.09710191894969314	0.00136638505478485	0.44084799136407532	0.04642210230164324	0.01774098431904372	0.00000000000000000	0.94211461009330189	0.86394554346422070
