Geneid	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP3954_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/SCP4733_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0148_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0596_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP0932_marked_duplicates.bam	/scratch/user/smit1924/preeclampsia_sex_chromosome_informed/deduplicated_clearBox/deduplicated_bams/STP1206_marked_duplicates.bam
ENSG00000200344.1	0	0	0	0	0	0
ENSG00000284747.1	70	25	11	4	27	6
ENSG00000284716.1	3	0	0	0	0	0
ENSG00000116285.12	4010	2895	3074	1228	3710	1889
ENSG00000238290.1	5	3	0	1	0	2
ENSG00000232848.1	2	1	0	0	0	0
ENSG00000229305.1	1	0	0	0	0	0
ENSG00000227634.2	2	0	5	1	2	1
ENSG00000200975.1	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0
ENSG00000162426.14	7	0	6	6	2	2
ENSG00000252254.1	0	0	0	0	0	0
ENSG00000142599.17	1052	482	647	562	743	339
ENSG00000232912.5	1	0	0	0	0	0
ENSG00000221083.1	0	0	0	1	0	0
ENSG00000270282.1	0	0	0	0	0	0
ENSG00000234619.1	3	0	0	0	0	1
ENSG00000224315.2	5	3	5	3	3	0
ENSG00000222511.2	0	0	0	0	0	0
ENSG00000226545.1	1	0	0	0	0	1
ENSG00000228423.2	1	1	0	0	3	0
ENSG00000229716.2	1	0	0	0	0	0
ENSG00000074800.15	2790	703	8317	3325	1351	1697
ENSG00000274258.1	0	0	0	0	0	0
ENSG00000230679.1	0	0	0	0	0	0
ENSG00000201725.1	0	0	0	0	0	0
ENSG00000238249.2	0	0	0	0	0	0
ENSG00000232208.2	0	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0
ENSG00000131686.14	0	0	0	0	0	0
ENSG00000265141.2	0	0	0	0	0	0
ENSG00000197241.3	0	0	0	0	0	0
ENSG00000142583.17	55	2	60	25	26	11
ENSG00000252404.1	0	0	0	0	0	0
ENSG00000180758.11	1231	322	1824	391	1167	444
ENSG00000228526.7	68	16	7	24	27	15
ENSG00000284357.1	0	0	0	0	0	0
ENSG00000234546.3	4	0	1	3	1	0
ENSG00000049239.12	1457	379	1298	495	717	474
ENSG00000171621.13	172	35	119	107	49	33
ENSG00000284652.1	0	1	1	0	1	0
ENSG00000284693.1	5	0	8	6	2	2
ENSG00000252956.1	0	0	0	0	0	0
