NAME	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
AL133477.2	1.29600207356852426	3.21219374264551627	6.53664514033118671	2.47989890079284292	1.93932787333351442	1.00000000000000000	1.39258485721688707	27.67435212716253545	12.25412489248079062	4.54861671296461711	3.29374633000587247	23.82714147120916337	1.11190541575211976	1.00000000000000000	1.00000000000000000	5.97615127124387779	3.92439421182826775	1.00000000000000000	2.65957411886185557	2.64173419666662435	2.11338736973367958	2.11914082236178070	2.88196326407709424	1.00000000000000000	2.63175792544824816	2.57570142348866815	1.04551032920695763
AL133492.1	1.00000000000000000	1.34051873261651933	1.70068884720568536	17.17470547249947188	7.99663092281136834	1.00000000000000000	2.35400026666484585	1.00000000000000000	5.79395073579164244	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.51236306960398093	4.42445880673002456	1.00000000000000000	1.66332478228278102	1.00000000000000000	4.69180655591658624	1.00000000000000000	7.29949025723068345	1.00000000000000000
AL135925.1	4.04462895208053386	2.84180816947153403	13.51638203212628042	5.96657949727883441	7.02577612982009114	6.92794000696276679	3.94109410540613458	44.87962528586155742	19.44936582076079645	6.44013795545566481	13.94752292996453313	55.37646578135145603	3.59929156899971758	1.00000000000000000	3.54603152801762533	10.78156280830579838	6.09826913593837894	1.00000000000000000	8.65716621486514804	1.98393335229045098	3.35696791881276768	1.40608642331260936	11.79297938264884849	6.71408448463269725	8.02004129759501438	10.92015937354981325	1.66274535428553039
AL136038.3	1.69780353465116685	1.71516741353983626	1.00000000000000000	1.80325672406203430	1.00000000000000000	1.00000000000000000	1.00000000000000000	17.09593433371802007	12.59468572926082963	2.86366787160570091	1.00000000000000000	1.00000000000000000	1.40243796320838676	1.00000000000000000	1.00000000000000000	2.37657110378833192	2.03810525092149764	1.00000000000000000	2.58040799812879884	1.00000000000000000	1.00000000000000000	1.46811570322213214	1.00000000000000000	1.70036446967001531	1.00000000000000000	1.00000000000000000	1.47794240971516566
AL136129.1	1.24287088934948087	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.48150676950367277	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.24404886834539807	1.00000000000000000	1.00000000000000000	6.40806558901945333	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	11.30913202464303602
AL137009.1	1.10280006825924537	1.00000000000000000	1.87998190757197770	2.85317652988988657	1.00000000000000000	1.00000000000000000	1.42319157544066899	1.00000000000000000	1.00000000000000000	1.43902087807687762	1.00000000000000000	1.00000000000000000	2.23591825636652874	53.57809919014677291	1.00000000000000000	15.39746380452141317	2.66126068657894654	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.07908889591901302	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.06345901805738041
AL137186.2	8.44215367754512158	2.53111236538933282	2.67313103415193964	1.89490207840186464	1.00000000000000000	1.00000000000000000	1.48562831562732267	4.11041990668738677	1.00000000000000000	44.23066621585855529	1.00000000000000000	1.00000000000000000	48.05360345994984073	1.71259178182149863	9.89227319313934395	3.06403441183116820	2.34880752888101707	1.00000000000000000	1.66102523957294257	7.26064309325854396	7.60767146397254912	5.58385928532449238	1.00000000000000000	1.80025928400801760	1.99613698078850255	1.00000000000000000	1.43201882671300607
AL137802.2	1.71692217476491615	2.29732983573209726	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.59774149354080919	19.84890013786849039	2.56632771334949927	2.21548281383798740	6.27014777494360231	10.01071373863519298	2.01994102781794016	1.00000000000000000	1.64980804670300607	2.17818910299523161	2.27451072518406194	1.00000000000000000	2.16270658712174857	1.00000000000000000	1.27591915568738412	1.58720043969568669	3.56410256410256165	2.36763281999388742	1.00000000000000000	3.72166609511677793	1.09340969163462942
AL139011.1	2.65911206035748782	1.44797006843190790	6.85990024539545740	4.74819010917285933	4.71597354605133301	3.88967231115991474	1.00000000000000000	6.55941626129251087	14.72216269345599393	2.65290883144461276	3.21527119349950929	7.60270843099841631	3.85545747387201265	9.25409403063919456	7.91513538911058667	1.24406167038556181	1.45091706941914023	1.00000000000000000	5.05970289691099673	3.53165197886577165	1.18483553795921215	1.00000000000000000	6.64826619214145165	1.69415810422645019	1.00000000000000000	2.77936329203148258	1.05606996392644836
AL139020.1	1.00000000000000000	1.52172189092882171	1.71694558239640260	2.40944139516435119	6.13206021335241225	4.48177291877022643	36.14423001599683261	1.00000000000000000	6.20665201861899440	1.14465822036249620	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.06140223925370236	1.06725535276945749	1.00000000000000000	3.04720528559456083	1.00000000000000000	1.00000000000000000	1.27209137045892984	2.34756360500214978	7.38453461450344673	1.00000000000000000	5.14976489906479440	1.26809291844996097
AL139246.5	1.00000000000000000	19.19487530705234946	45.15608474155249041	8.83103780380960224	5.10869265736613354	29.76146690322629240	15.09993441070977838	32.43309582636695865	19.98109872004285492	1.87862410524301038	3.26644304428630061	56.25157471236451556	2.63588829869361252	1.00000000000000000	1.60476384576586995	1.99341476710606935	1.42675838604032812	1.00000000000000000	15.71206739091607751	5.86307942690269357	7.96685541561495381	12.55124025600733084	33.16421853115756591	16.76403834044613816	18.00607019193645542	6.16950876770470380	2.30687098828609471
AL139274.2	2.22129288604727693	1.61975762518794197	1.00000000000000000	11.39002004262554024	1.00000000000000000	1.00000000000000000	2.26223739151070458	5.51212633953748554	9.97778895013738065	4.62983188539734858	1.00000000000000000	1.00000000000000000	3.49245404654189562	1.00000000000000000	4.60950889022040045	4.84158036313226425	2.32318139602921692	1.00000000000000000	2.52974812510320479	4.59668242013565909	1.59238320679340739	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.35481219707955325
AL139330.1	1.00000000000000000	8.49132987043840970	17.47835531981804635	12.68123614508229302	12.96962681202224488	16.14908494424398455	15.11552989628557420	1.00000000000000000	31.94919952649466310	1.22839899227596128	7.42632221579589036	1.00000000000000000	1.47795689231241578	6.61242816091953944	1.65572136563154571	1.95153515200728722	2.06473860514875618	1.00000000000000000	5.89617722402497790	11.69486506645475998	1.95113964745074631	7.67318005572427619	5.70818892024104585	4.64506210242696671	1.00000000000000000	5.36233281125341854	1.39755217630206974
AL139353.2	1.38588059283938581	1.00000000000000000	1.00000000000000000	1.80761272751170110	1.82728861121406072	8.56315232188777387	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.79034214309380779	1.00000000000000000	1.00000000000000000	1.49789547172140947	2.37786596119928895	1.00000000000000000	2.46882136416927223	1.76742490207763625	1.00000000000000000	1.36135418202422187	1.65458006397865587	1.58833543072789585	3.98356058119759293	1.00000000000000000	2.85684391009209326	1.00000000000000000	1.77673401986263912	1.88365142874933045
AL139384.1	7.84167979198055143	6.05053404774151016	2.07253328070769705	1.37331513546486383	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	14.03814387843223699	1.00000000000000000	1.00000000000000000	3.30576723293357544	2.72233245149911829	5.38840892366877267	1.00000000000000000	1.01104271072045693	1.00000000000000000	1.76993053929460209	1.00000000000000000	8.83312560005613356	2.27190669558161762	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	2.73081160095779651
AL157938.3	4.68580463936413949	8.65556882398322180	39.55847172247649723	35.78029243302432150	29.27306474251047774	71.55400128860131304	26.32556680856873399	34.60598648016524947	40.30992631543323768	4.80109934601412025	12.18522066436062090	22.98333663083391798	5.08337502220707993	1.00000000000000000	5.53968750355110018	2.79117071672285277	4.08304767799013124	1.00000000000000000	31.79808202808857587	17.44818809423704664	9.07187195057025697	3.68093166614914669	30.75240751575717724	36.86433275784906982	24.54618735353934156	31.61843749665621672	2.01606329099706416
AL158071.3	1.23626148444258299	1.00000000000000000	3.31467427820296123	1.00000000000000000	1.00000000000000000	3.51616636892030687	1.46606053939982894	3.41691842900300902	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.00000000000000000	1.47193800634476357	1.20439077448295806	1.00000000000000000	5.83663971558908834	1.00000000000000000	1.26657887335770791	1.00000000000000000	2.46558799390315198	1.00000000000000000	1.00000000000000000	1.00000000000000000	3.11308028770289313
